Corridore,Squadra,Prezzo
Rui OLIVEIRA,,
Victor CAMPENAERTS,,
Gijs LEEMREIZE,,
Brent VAN MOER,,
Ramses DEBRUYNE,,
Jordan LABROSSE,,
Thomas GACHIGNARD,,
Thibault GUERNALEC,,
Emanuel BUCHMANN,,
Michel HESSMANN,,
Matevz GOVEKAR,,
Anders Halland JOHANNESSEN,,
Finlay PICKERING,,
Thomas GLOAG,,
Quentin PACHER,,
Anthony TURGIS,,
Jarrad DRIZNERS,,
Vincenzo ALBANESE,,
Filippo FIORELLI,,
Hugo PAGE,,
Hugo HOFSTETTER,,
Rick PLUIMERS,,
Emiel VERSTRYNGE,,
Sergio SAMITIER,,
Casper PEDERSEN,,
Marius MAYRHOFER,,
Simon YATES,,
Clement RUSSO,,
Felix ENGELHARDT,,
Thibaud GRUEL,,
Remi CAVAGNA,,
David DE LA CRUZ,,
Daan HOOLE,,
Kelland O'BRIEN,,
Nelson OLIVEIRA,,
Andreas FOLDAGER,,
Yves LAMPAERT,,
Anthon CHARMING,,
Fabio VAN DEN BOSSCHE,,
Fredrik DVERSNES,,
Rasmus Sojberg PEDERSEN,,
Fabio CHRISTEN,,
Stian FREDHEIM,,
Igor ARRIETA,,
Ben SWIFT,,
Max WALKER,,
Stefano OLDANI,,
Tobias FOSS,,
Mathieu BURGAUDEAU,,
Mike TEUNISSEN,,
Jake STEWART,,
Mathys RONDEL,,
Raul GARCIA PIERNA,,
Yevgeniy FEDOROV,,
Cristian RODRIGUEZ,,
Jensen PLOWRIGHT,,
Juan Pedro LOPEZ,,
Pavel SIVAKOV,,
Arvid DE KLEIJN,,
Tim VAN DIJKE,,
Clement BRAZ AFONSO,,
Timo KIELICH,,
Casper VAN UDEN,,
Mathis LE BERRE,,
Marco HALLER,,
Nathael TESFATSION,,
Matteo SOBRERO,,
Felix GROßSCHARTNER,,
Aurelien PARET-PEINTRE,,
Aaron GATE,,
Ion IZAGIRRE,,
Jonas RUTSCH,,
Dylan VAN BAARLE,,
Laurens DE PLUS,,
Mirco MAESTRI,,
Frank VAN DEN BROEK,,
Lorenzo MILESI,,
Yannis VOISARD,,
Mikkel Frolich HONORÈ,,
Huub ARTZ,,
David GONZALEZ,,
Maurice BALLERSTEDT,,
Tobias BAYER,,
Lennert BELMANS,,
Lindsay DE VYLDER,,
Simon DEHAIRS,,
Silvan DILLIER,,
Aaron DOCKX,,
Jonas GEENS,,
Michael GOGL,,
Hugo HOULE,,
Tim MARSMAN,,
Johan PRICE-PETERSEN,,
Senna REMIJN,,
Jonas RICKAERT,,
Oscar RIESEBEEK,,
Florian SENECHAL,,
Sente SENTJENS,,
Henri UHLIG,,
Luca VERGALLITO,,
Niklas ARNDT,,
Alessandro BORGO,,
Alberto BRUTTOMESSO,,
Roman ERMAKOV,,
Zak ERZEN,,
Kamil GRADEK,,
Rainer KEPPLINGER,,
Fran MIHOLJEVIC,,
Mathijs PAASSCHENS,,
Daniel SKERL,,
Oliver STOCKWELL,,
Max VAN DER MEULEN,,
Vlad VAN MECHELEN,,
Kasper BORREMANS,,
Andrea PASQUALON,,
Leo BISIAUX,,
Cees BOL,,
Oscar CHAMBERLAIN,,
Sander DE PESTEL,,
Stan DEWULF,,
Pierre GAUTHERAT,,
Robbe GHYS,,
Tord GUDMESTAD,,
Noa ISIDORE,,
Anthony L'HOTE,,
Gianluca POLLEFLIET,,
Callum SCOTSON,,
Aubin SPARFEL,,
Mattia AGOSTINACCHIO,,
Samuele BATTISTELLA,,
Markel BELOKI,,
Jefferson Alexander CEPEDA,,
Noah HOBBS,,
Alastair MACKELLAR,,
Darren RAFFERTY,,
Mathias SCHWARZBACHER,,
Colby SIMMONS,,
Jardi Christian VAN DER LEE,,
Cyril BARTHE,,
Lewis BOWER,,
Tom DONNENWIRTH,,
Titouan FONTAINE,,
Axel HUENS,,
Johan JACOBS,,
Josh KENCH,,
Olivier LE GAC,,
Matteo MILAN,,
Matthew WALLS,,
Andrew AUGUST,,
Lucas HAMILTON,,
Kim HEIDUK,,
Michal KWIATKOWKI,,
Peter OXENBERG,,
Brandon Smith RIVERA,,
Oscar RODRIGUEZ,,
Emret SVESTAD-BARDSENG,,
Benjamin NOVAL,,
Koen BOUWMAN,,
Amaury CAPIOT,,
Filippo CONCA,,
Alessandro COVI,,
Dries DE POOTER,,
Davide DE PRETTO,,
Robert DONALDSON,,
Luke DURBRIDGE,,
Alan HATHERLY,,
Asbjorn HELLEMOSE,,
Christopher JUUL-JENSEN,,
Jelte KRIJNSEN,,
Hamish MCKENZIE,,
Luka MEZGEC,,
Rudy PORTER,,
Jasha SUTTERLIN,,
Simone CONSONNI,,
Amanuel GHEBREIGZABHIER,,
Jacopo MOSCA,,
Mathias NORSGAARD,,
Sam OOMEN,,
Edward THEUNS,,
Otto VERGAERDE,,
Ton AERTS,,
Cedric BEULLENS,,
Vito BRAET,,
Lars CRAPS,,
Jasper DE BUYST,,
Steffen DE SCHUYTENEER,,
Matthew FOX,,
Joshua GIDDINS,,
Sebastien GRIGNARD,,
Matys GRISEL,,
Simone GUALDI,,
Mathieu KOCKELMANN,,
Milan MENTEN,,
Robin ORINS,,
Felix ORN-KRISTOFF,,
Lorenzo ROTA,,
Liam SLOCK,,
Lionel TAMINIAUX,,
Reuben THOMPSON,,
Luca VAN BOVEN,,
Roel VAN SINTMAARTENSDIJK,,
Baptiste VEISTROFFER,,
Jose ARCAS,,
Carlos CANAL,,
Davide FORMOLO,,
Manlio MORO,,
Pavel NOVAK,,
Diego PESCADOR,,
Nairo QUINTANA,,
Gonzalo SERRANO,,
Albert TORRES,,
Ruben GUERREIRO,,
Antonio PEDRERO,,
George BENNETT,,
Guillaume BOIVIN,,
Simon CLARKE,,
Pier-Andre' COTE',,
Itamar EINHORN,,
Brady GILMORE,,
Oded KOGUT,,
Pau MARTI',,
Ryan MULLEN,,
Krists NEILANDS,,
Alessandro PINARELLO,,
Nadav RAISBERG,,
Nick SCHULTZ,,
Riley SHEEHAN,,
Dion SMITH,,
Totem TENE,,
Tom VAN ASBROECK,,
Floris VAN TRICHT,,
Ftits BIESTERBOS,,
Dillon CORKERY,,
Timo DE JONG,,
John DEGENKOLB,,
Robbe DHONDT,,
Matthew DINHAM,,
Nils EEKHOFF,,
Alexy FAURE PROST,,
Sean FLYNN,,
Mattia GAFFURI,,
Fabio JAKOBSEN,,
James KNOX,,
Niklas MARKL,,
Guillermo Juan MARTINEZ,,
Tim NABERMAN,,
Oliver PEACE,,
Henri-Francois RENARD-HAQUIN,,
Timo ROOSEN,,
Julius VAN DEN BERG,,
Bram WELTEN,,
Romain COMBAUD,,
Patrick EDDY,,
Alex EDMONDSON,,
Giovanni ALEOTTI,,
Adrien BOICHIS,,
Haimar ETXEBERRIA,,
Alexander HAJEK,,
Emil HERZOG,,
Gianni MOSCON,,
Callum THORNLEY,,
Luke TUCKWELL,,
Frederik WANDAHL,,
Lorenzo FINN,,
Ayco BASTIAENS,,
Steff CRAS,,
Gil GELDERS,,
Andrea RACCAGNI NOVIERO,,
Martin SVRCEK,,
Dries VAN GESTEL,,
Bert VAN LERBERGHE,,
Warre VANGHELUWE,,
Jonathan VERVENNE,,
Filippo BARONCINI,,
Rune HERREGODTS,,
Julius JOHANSEN,,
Vegard Stake LAENGEN,,
Domen NOVAK,,
Adria PERICAS,,
Pablo TORRES,,
Carl-Frederick BEVORT,,
Erlend BLIKRA,,
WIlliam BLUME LEVY,,
Sven Erik BYSTRØM,,
Simon DALBY,,
Adne HOLTER,,
Jonas Hem HVIDEBERG,,
Storm INGEBRIGTSEN,,
Alexander KAMP,,
Andreas KRON,,
Johannes KULSET,,
Sakarias Koller LØLAND,,
Henrik PEDERSEN,,
Erik Nordseater RESELL,,
Anders SKAARSETH,,
Tobias SVARRE,,
Rasmus TILLER,,
Martin TJOTTA,,
Martin URIANSTAD,,
Niklas BEHRENS,,
Owain DOULL,,
Tijmen GRAAT,,
Menno HUISING,,
Steven KRUIJSWIJK,,
Pietro MATTIO,,
Davide PIGANZOLI,,
Tim REX,,
Anton SCHIFFER,,
Loe VAN BELLE,,
Lev GONOV,,
Florian Samuel KAJAMINI,,
Anton KUZMIN,,
Matteo MALUCELLI,,
Henok MULUBRHAN,,
Alessandro ROMELE,,
Marco SCHRETTL,,
Guillermo Thomas SILVA,,
Hayou SU,,
Gleb SYRITSA,,
Davide TONEATTI,,
Darren VAN BEKKUM,,
Nicolas VINOKUROV,,
Filippo CETTOLIN,,
Luca COLNAGHI,,
Lorenzo CONFORTI,,
Luca COVILI,,
Edward CRUZ,,
Santiago FERRARO,,
Martin Santiago HERRENO,,
Filippo MAGLI,,
Marco MANENTI,,
Alessio MARTINELLI,,
Andrea MONTAGNER,,
Luca PALETTI,,
Mattia PINAZZI,,
Vicente ROJAS,,
Mattia STENICO,,
Alex TOLIO,,
Filippo TURCONI,,
Matteo TURCONI,,
Enrico ZANONCELLO,,
Federico BIAGINI,,
Clement ALLENO,,
Rodrigo ALVAREZ,,
Mario APARICIO,,
Georgios BOUGLAS,,
Josh BURNETT,,
Daniel CAVIA,,
Sergio Geovani CHUMIL,,
Hugo DE LA CALLE,,
Jose Manuel DIAZ,,
Eric Antonio FAGUNDEZ,,
Adrian FAJARDO,,
